"ano","regiao","uf","municipio","gestao 1","gestao 2","gestao 3","gestao 4","gestao 5","gestao 6"
"2013","Norte","AM","1300904",0,33.3,33.3,0,33.3,0.1
"2013","Norte","AM","1300904",59,7.7,7.7,17.9,7.7,0
"2013","Norte","AM","1301001",7.8,29.4,31.4,9.8,21.6,0
"2013","Norte","AM","1301001",9.1,54.5,18.2,0,18.2,0
"2013","Norte","AM","1301001",7.5,22.5,35,12.5,22.5,0
"2013","Norte","AM","1301100",30.2,11.6,48.8,2.3,7,0.1
"2013","Norte","AM","1301100",20,40,0,20,20,0
"2013","Norte","AM","1301100",31.6,7.9,55.3,0,5.2,0
"2013","Norte","AM","1301159",34.8,28.3,19.6,4.3,10.9,2.1
"2013","Norte","AM","1301159",33.3,33.3,0,0,0,33.4
"2013","Norte","AM","1301159",34.9,27.9,20.9,4.7,11.6,0
"2013","Norte","AM","1301209",44,6,31.3,2.4,16.3,0
"2013","Norte","AM","1301209",0,63.6,0,0,36.4,0
"2013","Norte","AM","1301209",47.1,1.9,33.5,2.6,14.8,0.1
"2013","Norte","AM","1301308",29.2,18.8,45.8,4.2,2,0
"2013","Norte","AM","1301308",0,85.7,0,14.3,0,0
"2013","Norte","AM","1301308",34.1,7.3,53.7,2.4,2.4,0.1
"2013","Norte","AM","1301407",23.1,17.9,30.8,10.3,17.9,0
"2013","Norte","AM","1301407",0,28.6,7.1,21.4,42.9,0
"2013","Norte","AM","1301407",36,12,44,4,4,0
"2013","Norte","AM","1301506",62.7,19.6,11.8,0,3.9,2
"2013","Norte","AM","1301506",0,57.1,0,0,28.6,14.3
"2013","Norte","AM","1301506",72.7,13.6,13.6,0,0,0.1
"2013","Norte","AM","1301605",2,2,6.1,12.2,73.5,4.2
"2013","Norte","AM","1301605",0,0,33.3,0,0,66.7
"2013","Norte","AM","1301605",2.2,2.2,4.3,13,78.3,0
"2013","Norte","AM","1301654",62.3,32.8,1.6,1.6,1.6,0.1
"2013","Norte","AM","1301654",0,100,0,0,0,0
"2013","Norte","AM","1301654",67.9,26.8,1.8,1.8,1.7,0
"2013","Norte","AM","1301704",41.1,22.1,22.1,8.4,6.3,0
"2013","Norte","AM","1301704",0,33.3,33.3,0,33.3,0.1
"2013","Norte","AM","1301704",45.3,20.9,20.9,9.3,3.5,0.1
"2013","Norte","AM","1301803",75.6,17.1,0,0,7.3,0
"2013","Norte","AM","1301803",0,80,0,0,20,0
"2013","Norte","AM","1301803",86.1,8.3,0,0,5.6,0
"2013","Norte","AM","1301852",13.8,9.2,18.5,12.3,36.9,9.3
"2013","Norte","AM","1301852",0,14.3,0,14.3,57.1,14.3
"2013","Norte","AM","1301852",15.5,8.6,20.7,12.1,34.5,8.6
"2013","Norte","AM","1301902",27.3,10.2,31.3,10.9,15.6,4.7
"2013","Norte","AM","1301902",0,26.7,33.3,0,20,20
"2013","Norte","AM","1301902",31,8,31,12.4,15,2.6
"2013","Norte","AM","1301951",9.1,20.5,27.3,22.7,20.4,0
"2013","Norte","AM","1301951",0,50,25,0,25,0
"2013","Norte","AM","1301951",10,17.5,27.5,25,20,0
"2013","Norte","AM","1302009",62.5,0,29.2,0,8.3,0
"2013","Norte","AM","1302009",33.3,0,33.3,0,33.3,0.1
"2013","Norte","AM","1302009",66.7,0,28.6,0,4.7,0
"2013","Norte","AM","1302108",0,6.1,3,42.4,48.5,0
"2013","Norte","AM","1302108",0,50,0,0,50,0
"2013","Norte","AM","1302108",0,3.2,3.2,45.2,48.4,0
"2013","Norte","AM","1302207",2.9,60,2.9,11.4,22.8,0
"2013","Norte","AM","1302207",0,50,0,0,50,0
"2013","Norte","AM","1302207",3,60.6,3,12.1,21.2,0.1
"2013","Norte","AM","1302306",25.8,20.4,8.6,30.1,15.1,0
"2013","Norte","AM","1302306",0,20,40,0,40,0
"2013","Norte","AM","1302306",27.3,20.5,6.8,31.8,13.6,0
"2013","Norte","AM","1302405",34.7,9.3,42,6.7,7.3,0
"2013","Norte","AM","1302405",0,80,0,0,20,0
"2013","Norte","AM","1302405",37.1,4.3,45,7.1,6.4,0.1
"2013","Norte","AM","1302504",57.7,17.4,12.8,1.3,10.1,0.7
"2013","Norte","AM","1302504",8.3,66.7,0,0,25,0
"2013","Norte","AM","1302504",62,13.1,13.9,1.5,8.8,0.7
"2013","Norte","AM","1302553",13.5,40.5,24.3,18.9,2.7,0.1
"2013","Norte","AM","1302553",0,25,25,50,0,0
"2013","Norte","AM","1302553",15.2,42.4,24.2,15.2,3,0
"2013","Norte","AM","1302603",2.6,53.3,17.7,6.7,14,5.7
"2013","Norte","AM","1302603",2,58.6,16.1,5.5,11.4,6.4
"2013","Norte","AM","1302603",5.6,29.2,24.7,12.4,25.8,2.3
"2013","Norte","AM","1302702",45.6,16.5,27.8,1.9,8.2,0
"2013","Norte","AM","1302702",0,30.8,38.5,7.7,23,0
"2013","Norte","AM","1302702",49.7,15.2,26.9,1.4,6.8,0
"2013","Norte","AM","1302801",31.3,9.4,15.6,7.3,35.4,1
"2013","Norte","AM","1302801",0,50,0,0,25,25
"2013","Norte","AM","1302801",32.6,7.6,16.3,7.6,35.9,0
"2013","Norte","AM","1302900",9.9,9.9,47.1,25.6,7.5,0
"2013","Norte","AM","1302900",0,58.3,25,0,16.7,0
"2013","Norte","AM","1302900",10.6,6.3,48.8,27.5,6.8,0
"2013","Norte","AM","1303007",47.7,16.9,20,1.5,13.8,0.1
"2013","Norte","AM","1303007",0,66.7,33.3,0,0,0
"2013","Norte","AM","1303007",50,14.5,19.4,1.6,14.5,0
"2013","Norte","AM","1303106",26.9,4.5,52.2,10.4,6,0
"2013","Norte","AM","1303106",28.6,0,28.6,14.3,28.5,0
"2013","Norte","AM","1303106",26.7,5,55,10,3.3,0
"2013","Norte","AM","1303205",5.9,11.8,17.6,11.8,52.9,0
"2013","Norte","AM","1303205",0,0,25,0,75,0
"2013","Norte","AM","1303205",7.7,15.4,15.4,15.4,46.1,0
"2013","Norte","AM","1303304",76.2,10.7,6,1.2,5.9,0
"2013","Norte","AM","1303304",0,60,20,0,20,0
"2013","Norte","AM","1303304",81,7.6,5.1,1.3,5,0
"2013","Norte","AM","1303403",17.8,34.9,21.1,1.3,23,1.9
"2013","Norte","AM","1303403",3.3,70,6.7,0,16.7,3.3
"2013","Norte","AM","1303403",21.3,26.2,24.6,1.6,24.6,1.7
"2013","Norte","AM","1303502",84.6,10.3,1.3,2.6,1.2,0
"2013","Norte","AM","1303502",0,80,0,0,20,0
"2013","Norte","AM","1303502",90.4,5.5,1.4,2.7,0,0
"2013","Norte","AM","1303536",3.8,26.9,7.7,0,42.3,19.3
"2013","Norte","AM","1303536",0,57.1,0,0,42.9,0
"2013","Norte","AM","1303536",5.3,15.8,10.5,0,42.1,26.3
"2013","Norte","AM","1303569",29.4,17.6,5.9,11.8,11.8,23.5
"2013","Norte","AM","1303569",14.3,28.6,14.3,0,28.6,14.2
"2013","Norte","AM","1303569",40,10,0,20,0,30
"2013","Norte","AM","1303601",44.4,15.6,24.4,13.3,0,2.3
"2013","Norte","AM","1303601",50,25,0,0,0,25
"2013","Norte","AM","1303601",43.9,14.6,26.8,14.6,0,0.1
"2013","Norte","AM","1303700",30.3,30.3,3,12.1,21.2,3.1
"2013","Norte","AM","1303700",0,50,0,0,50,0
"2013","Norte","AM","1303700",37,25.9,3.7,14.8,14.8,3.8
"2013","Norte","AM","1303809",39,8.1,38.1,14,0.4,0.4
"2013","Norte","AM","1303809",33.3,0,33.3,0,0,33.4
"2013","Norte","AM","1303809",39.1,8.2,38.2,14.2,0.3,0
"2013","Norte","AM","1303908",44.4,11.1,8.3,15.3,18.1,2.8
"2013","Norte","AM","1303908",0,0,0,0,66.7,33.3
"2013","Norte","AM","1303908",46.4,11.6,8.7,15.9,15.9,1.5
"2013","Norte","AM","1303957",11.1,27.8,61.1,0,0,0
"2013","Norte","AM","1303957",0,50,50,0,0,0
"2013","Norte","AM","1303957",12.5,25,62.5,0,0,0
"2013","Norte","AM","1304005",20,20,13.3,33.3,13.3,0.1
"2013","Norte","AM","1304005",0,0,0,100,0,0
"2013","Norte","AM","1304005",21.4,21.4,14.3,28.6,14.3,0
"2013","Norte","AM","1304062",18,9.8,18,24.6,19.7,9.9
"2013","Norte","AM","1304062",0,40,10,0,30,20
"2013","Norte","AM","1304062",21.6,3.9,19.6,29.4,17.6,7.9
"2013","Norte","AM","1304104",68.7,7.2,14.5,4.8,3.6,1.2
"2013","Norte","AM","1304104",0,50,33.3,0,0,16.7
"2013","Norte","AM","1304104",74,3.9,13,5.2,3.9,0
"2013","Norte","AM","1304203",6,7.2,18.1,25.3,37.3,6.1
"2013","Norte","AM","1304203",6.3,25,6.3,0,37.5,24.9
"2013","Norte","AM","1304203",6,3,20.9,31.3,37.3,1.5
"2013","Norte","AM","1304237",13.2,9.4,9.4,30.2,34,3.8
"2013","Norte","AM","1304237",0,0,0,0,100,0
"2013","Norte","AM","1304237",14,10,10,32,30,4
"2013","Norte","AM","1304260",7.5,22.6,5.7,37.7,22.6,3.9
"2013","Norte","AM","1304260",20,20,40,0,0,20
"2013","Norte","AM","1304260",6.3,22.9,2.1,41.7,25,2
"2013","Norte","AM","1304302",34.5,17.2,27.6,0,20.7,0
"2013","Norte","AM","1304302",0,0,50,0,50,0
"2013","Norte","AM","1304302",40,20,24,0,16,0
"2013","Norte","AM","1304401",50,15.6,25,6.3,3.1,0
"2013","Norte","AM","1304401",25,25,0,50,0,0
"2013","Norte","AM","1304401",53.6,14.3,28.6,0,3.5,0
"2013","Norte","RR","1400027",65,15,5,0,10,5
"2013","Norte","RR","1400027",50,50,0,0,0,0
"2013","Norte","RR","1400027",66.7,11.1,5.6,0,11.1,5.5
"2013","Norte","RR","1400050",73.7,15.8,5.3,0,5.2,0
"2013","Norte","RR","1400050",0,50,0,0,50,0
"2013","Norte","RR","1400050",82.4,11.8,5.8,0,0,0
"2013","Norte","RR","1400100",36.5,38.5,18.8,1,5.2,0
"2013","Norte","RR","1400100",27.8,41.8,22.8,1.3,6.3,0
"2013","Norte","RR","1400100",76.5,23.5,0,0,0,0
"2013","Norte","RR","1400159",35.3,29.4,35.3,0,0,0
"2013","Norte","RR","1400159",0,33.3,66.7,0,0,0
"2013","Norte","RR","1400159",42.9,28.6,28.5,0,0,0
"2013","Norte","RR","1400175",63.2,28.9,5.3,0,2.6,0
"2013","Norte","RR","1400175",0,100,0,0,0,0
"2013","Norte","RR","1400175",64.9,27,5.4,0,2.7,0
"2013","Norte","RR","1400209",23.8,33.3,33.3,0,9.5,0.1
"2013","Norte","RR","1400209",0,20,60,0,20,0
"2013","Norte","RR","1400209",31.3,37.5,25,0,6.2,0
"2013","Norte","RR","1400233",65,15,5,10,5,0
"2013","Norte","RR","1400233",0,50,0,50,0,0
